stage,units,sr,lr,input_scaling,alpha,acc,macro_f1,balanced_acc
stage2_size,500,0.99,0.05,0.5,100.0,0.548,0.5208415441897934,0.5578801987745708
stage2_size,700,0.99,0.05,0.5,1e-10,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,1e-09,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,1e-08,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,1e-07,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,1e-06,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,1e-05,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,0.0001,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,0.001,0.4665,0.40337769319620886,0.41695385067422075
stage2_size,700,0.99,0.05,0.5,0.01,0.468,0.4045841121668502,0.41791940636257074
stage2_size,700,0.99,0.05,0.5,0.1,0.469,0.4048090581261352,0.41787867203188866
stage2_size,700,0.99,0.05,0.5,1.0,0.482,0.4215854788853387,0.43558936580220464
stage2_size,700,0.99,0.05,0.5,10.0,0.549,0.5062935337445559,0.5309623989761862
stage2_size,700,0.99,0.05,0.5,100.0,0.5765,0.5437108686985572,0.5777376680803034
stage2_size,1000,0.99,0.05,0.5,1e-10,0.3625,0.29646067478250476,0.2983777883069653
stage2_size,1000,0.99,0.05,0.5,1e-09,0.3625,0.29646067478250476,0.2983777883069653
stage2_size,1000,0.99,0.05,0.5,1e-08,0.3625,0.29646067478250476,0.2983777883069653
stage2_size,1000,0.99,0.05,0.5,1e-07,0.3625,0.29646067478250476,0.2983777883069653
stage2_size,1000,0.99,0.05,0.5,1e-06,0.3625,0.29646067478250476,0.2983777883069653
stage2_size,1000,0.99,0.05,0.5,1e-05,0.3625,0.29646067478250476,0.2983777883069653
stage2_size,1000,0.99,0.05,0.5,0.0001,0.3625,0.29646067478250476,0.2983777883069653
stage2_size,1000,0.99,0.05,0.5,0.001,0.363,0.29695651481559154,0.2986826663557458
stage2_size,1000,0.99,0.05,0.5,0.01,0.363,0.2944390699697077,0.2964398428432583
stage2_size,1000,0.99,0.05,0.5,0.1,0.385,0.31919700489847197,0.3202852269439333
stage2_size,1000,0.99,0.05,0.5,1.0,0.444,0.386802712472326,0.3900511008176901
stage2_size,1000,0.99,0.05,0.5,10.0,0.524,0.48442565134995946,0.4940678552666153
stage2_size,1000,0.99,0.05,0.5,100.0,0.564,0.5262395562387692,0.5496419194234872
stage2_size,200,0.8,0.1,0.3,1e-10,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,1e-09,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,1e-08,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,1e-07,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,1e-06,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,1e-05,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,0.0001,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,0.001,0.5075,0.4723464040123403,0.5146480747582025
stage2_size,200,0.8,0.1,0.3,0.01,0.508,0.4727805064087442,0.5150449001550279
stage2_size,200,0.8,0.1,0.3,0.1,0.508,0.4727805064087442,0.5150449001550279
stage2_size,200,0.8,0.1,0.3,1.0,0.5105,0.47579117337241905,0.5185837051000828
stage2_size,200,0.8,0.1,0.3,10.0,0.521,0.4897176239021047,0.5349344749635396
stage2_size,200,0.8,0.1,0.3,100.0,0.5225,0.4918655313737714,0.5436476138240882
stage2_size,500,0.8,0.1,0.3,1e-10,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,1e-09,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,1e-08,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,1e-07,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,1e-06,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,1e-05,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,0.0001,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,0.001,0.523,0.49200745257987644,0.505953766787141
stage2_size,500,0.8,0.1,0.3,0.01,0.5235,0.4923341632503142,0.5062176190298852
stage2_size,500,0.8,0.1,0.3,0.1,0.5245,0.4939506592818928,0.5072367827929514
stage2_size,500,0.8,0.1,0.3,1.0,0.5285,0.49733701079646797,0.5103232449419134
stage2_size,500,0.8,0.1,0.3,10.0,0.5395,0.5097844883513237,0.525160438853189
stage2_size,500,0.8,0.1,0.3,100.0,0.546,0.5194107031789902,0.5458741857086757
stage2_size,700,0.8,0.1,0.3,1e-10,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,1e-09,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,1e-08,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,1e-07,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,1e-06,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,1e-05,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,0.0001,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,0.001,0.481,0.4202562232652123,0.43402920168612436
stage2_size,700,0.8,0.1,0.3,0.01,0.4815,0.42092115135552666,0.43481045168612437
stage2_size,700,0.8,0.1,0.3,0.1,0.488,0.4242512576364792,0.43996672633952116
stage2_size,700,0.8,0.1,0.3,1.0,0.5255,0.47337496680351315,0.48952632626173587
stage2_size,700,0.8,0.1,0.3,10.0,0.5675,0.5228100930744166,0.5420660298835042
stage2_size,700,0.8,0.1,0.3,100.0,0.586,0.553491772781526,0.585644770732286
stage2_size,1000,0.8,0.1,0.3,1e-10,0.3645,0.30865328176448836,0.30812482066210956
stage2_size,1000,0.8,0.1,0.3,1e-09,0.3645,0.30865328176448836,0.30812482066210956
stage2_size,1000,0.8,0.1,0.3,1e-08,0.3645,0.30865328176448836,0.30812482066210956
stage2_size,1000,0.8,0.1,0.3,1e-07,0.3645,0.30865328176448836,0.30812482066210956
stage2_size,1000,0.8,0.1,0.3,1e-06,0.3645,0.30865328176448836,0.30812482066210956
stage2_size,1000,0.8,0.1,0.3,1e-05,0.3645,0.30865328176448836,0.30812482066210956
stage2_size,1000,0.8,0.1,0.3,0.0001,0.3645,0.30851744479396626,0.30812482066210956
stage2_size,1000,0.8,0.1,0.3,0.001,0.364,0.30782715277769024,0.3078199426133291
stage2_size,1000,0.8,0.1,0.3,0.01,0.3665,0.3120901448861246,0.3111007786822021
stage2_size,1000,0.8,0.1,0.3,0.1,0.396,0.33990416361137343,0.33813177268277245
stage2_size,1000,0.8,0.1,0.3,1.0,0.4445,0.3934021350430175,0.39080329311678236
stage2_size,1000,0.8,0.1,0.3,10.0,0.519,0.47145605806060364,0.4792579382887142
stage2_size,1000,0.8,0.1,0.3,100.0,0.5645,0.5257250795886665,0.54626415392725
